H,β,γ,c,φ,Ru
0.419246802,0.748837209,0.777202073,0.106666667,0.666666667,0.4
0.536822603,0.860465116,1,0.228666667,0.747474747,0
0.768411302,0.790697674,0.67357513,0.153333333,0.707070707,0.386666667
0.102148431,0.23255814,0.488601036,0,0.404040404,0.666666667
0.055830691,0.418604651,0.538860104,0.096333333,0.484848485,0
0.068300852,0.581395349,0.756476684,0.147,0.767676768,0
0.015195782,0.279069767,0.395336788,0.039933333,0.404040404,0
0.086115367,0.348837209,0.756476684,0.141333333,0.747474747,0
0.581358891,0.906976744,0.67357513,0.16,0.808080808,0
0.064737948,0.465116279,0.445595855,0.054266667,0.535353535,0
0.0077315,0.534883721,0.621761658,0,0.808080808,0.4
0.000605694,0.581395349,0,0.0001,0.606060606,0.386666667
0.100366979,0.813953488,0.502590674,0.106666667,0.545454545,0
0.046923433,0.465116279,0.466321244,0.033333333,0.612989899,0.386666667
0.218833506,0.558139535,0.777202073,0.091,0.587878788,0.4
0.198346813,0.697674419,0.207253886,0.233333333,0.404040404,0
0.082552464,0.930232558,0.538860104,0.097666667,0.525252525,0
0.198346813,0.909302326,0.595854922,0.083333333,0.404040404,0.546666667
0.082552464,0.23255814,0.14507772,0,0.343434343,0
0.050486336,0.465116279,0.704663212,0.132666667,0.727272727,0
0.000605694,0.581395349,0,0,0.606060606,0
0.074001496,0.472093023,0.590673575,0.05,0.777777778,0.373333333
0.046923433,0.348837209,0.725388601,0.131333333,0.727272727,0
0.17162504,0.581395349,0.851813472,0.098066667,0.707070707,0
0.0077315,0.23255814,0.414507772,0,0.494949495,0.466666667
0.150247622,0.702325581,0.533678756,0.067,0.626262626,0.253333333
0.741689529,0.76744186,0.777202073,0.143333333,0.707070707,0.4
0.51010083,0.23255814,0.544041451,0.06,0.404040404,0
0.17162504,0.23255814,0.569948187,0,0.404040404,0.4
0.091459721,0.581395349,0.445595855,0.108,0.525252525,0
0.086115367,0.930232558,0.487046632,0.096,0.404040404,0
0.526133894,0.802325581,0.67357513,0.153333333,0.727272727,0
0.260697616,0.319767442,0.476683938,0,0.707070707,0.333333333
0.0077315,0.23255814,0.310880829,0.016666667,0.606060606,0.4
0.123525849,0.813953488,0.750777202,0.5,0.666666667,0.2
0.082552464,0.930232558,0.507772021,0.109,0.545454545,0
0.02020166,0.813953488,0.279792746,0.049833333,0.428282828,0.533333333
0.064737948,0.274418605,0.352331606,0.026666667,0.525252525,0.533333333
0.17162504,0.581395349,0.851813472,0.130766667,0.767676768,0
0.059393594,0.465116279,0.735751295,0.142666667,0.747474747,0
0.150247622,0.465116279,0.103626943,0.0399,0.525252525,0.6
0.082552464,0.23255814,0.14507772,0,0.343434343,0
0.374710514,0.627906977,0.594300518,0,0.646464646,0
0.048704885,0.697674419,0.471502591,0.111666667,0.565656566,0
0.087896818,0.813953488,0.414507772,0.101,0.505050505,0
0.046923433,0.813953488,0.518134715,0.066666667,0.727272727,0.386666667
0.84857662,0.697674419,0.792746114,0.033333333,0.787878788,0
0.109274237,0.697674419,0.445595855,0.095,0.545454545,0
0.13599601,0.820930233,0.75492228,1,0.781818182,0.2
0.082552464,0.813953488,0.414507772,0.000333333,0.727272727,0.386666667
0.064737948,0.274418605,0.352331606,0.026666667,0.525252525,0.533333333
0,0.465116279,0.20984456,0.0383,0,0
0.082552464,0.813953488,0.414507772,0.000333333,0.727272727,0.670666667
0.082552464,0.813953488,0.518134715,0,0.727272727,0
0.004168597,0.465116279,0.336787565,0.04,0,0
0.100366979,0.581395349,0.507772021,0.092,0.505050505,0
0.513663733,0.862790698,0.777202073,0.133333333,0.707070707,0
0.011294403,0,0.414507772,0.026666667,0.404040404,0
0.082552464,0.813953488,0.414507772,0,0.727272727,0.333333333
0.011294403,0.465116279,0.538860104,0.033333333,0.707070707,0
0.082552464,0.813953488,0.518134715,0.066666667,0.727272727,0
0.011294403,0.813953488,0.538860104,0.033333333,0.707070707,0.533333333
