H,β,γ,c,φ,Ru,actual
0.082552464,0.534883721,0.518134715,0,0.808080808,0.466666667,0.026
0.064737948,0.465116279,0.455958549,0.049333333,0.424242424,0,0.3105
0.718530659,0.744186047,0.777202073,0.166666667,0.808080808,0.4,0.3834
0.342644387,0.465116279,0.518134715,0.133333333,0.606060606,0,0.2112
0.047814159,0.23255814,0.354404145,0.047866667,0.505050505,0,0.0721
0.645491146,0.837209302,1,0.226666667,0.747474747,0,0.4102
0.633020985,0.744186047,0.777202073,0.116666667,0.707070707,0.4,0.3444
0.45131293,0.465116279,0.518134715,0.07,0.464646465,0,0.5127
0.084333915,0.196046512,0.300518135,0.070666667,0.281212121,0.533333333,0.3067
0.064737948,0.465116279,0.715025907,0.137333333,0.707070707,0,0.2732
0.0077315,0.534883721,0.621761658,0,0.808080808,0.404,0.0904
0.100366979,0.581395349,0.756476684,0.135666667,0.707070707,0,0.2986
0.123525849,0.196046512,0.476683938,0,0.707070707,0.333333333,0.4806
0.082552464,0.813953488,0.414507772,0.066666667,0.727272727,0.333333333,0.6297
0.082552464,0.813953488,0.518134715,0.033333333,0.727272727,0.386666667,0.1247
0.047814159,0.23255814,0.354404145,0.047866667,0.505050505,0.6,0.4198
0.082552464,0.813953488,0.414507772,0.066666667,0.727272727,0.333333333,0.4219
0.011294403,0.813953488,0.518134715,0.033333333,0.707070707,0.537333333,0.3105
0.331955677,0.372093023,0.595854922,0.033333333,0.545454545,0,0.3129
0.207254071,1,0.67357513,0.4,0.909090909,0,0.9389
0.082552464,0.813953488,0.414507772,0,0.727272727,0.333333333,0.3704
0.321266968,0.627906977,0.777202073,0.091,0.587878788,0.293333333,0.279
0.102148431,0.23255814,0.488601036,0,0.404040404,0,0.2268
0.08967827,0.256744186,0.362694301,0.039666667,0.412121212,1,0.2979
0.064737948,0.465116279,0.445595855,0.054266667,0.535353535,0,0.2903
0.118181494,0.697674419,0.492227979,0.099333333,0.525252525,0,0.2166
0.046923433,0.813953488,0.414507772,0.066666667,0.727272727,0.670666667,0.7451
0.087896818,0.465116279,0.455958549,0.051333333,0.424242424,0,0.1443
0.062956497,0.581395349,0.751295337,0.120333333,0.626262626,0,1
0.0077315,0.813953488,0,0,0.606060606,0,0.3058
0.260697616,0.319767442,0.476683938,0,0.707070707,0.333333333,0.2962
0.08967827,0.744186047,0.751295337,0.139333333,0.727272727,0,0.2999
0.116400043,0.465116279,0.777202073,0.119333333,0.646464646,0,0.3626
0.029108918,0.813953488,0.310880829,0.08,0.609090909,0.16,0.2537
0.029108918,0.465116279,0.471502591,0.033333333,0.612929293,0,0.1491
0.055830691,0.23255814,0.694300518,0.11,0.666666667,0,0.3534
0.007054548,0.23255814,0.354404145,0,0.404040404,0,0.649
0.015195782,0.279069767,0.395336788,0.0399,0.404040404,0.54,0.2704
0.563544376,0.646511628,0.777202073,0.125,0.707070707,0.4,0.1085
0.706060498,0.186046512,0.518134715,0.096666667,0.303030303,0,0.2745
0.114618591,0.581395349,0.735751295,0.146,0.767676768,0,0.2109
0.004173941,0.465116279,0.336787565,0.083333333,0,0.386666667,0.3821
0.087896818,0.128372093,0.310880829,0.016666667,0.535353535,0.533333333,0.4952
0.150247622,0.465116279,0.103626943,0.0399,0.525252525,0,0.9337
0.763066947,0.837209302,0.67357513,0.153333333,0.707070707,0.386666667,0.3957
0.169843589,0.581395349,0.507772021,0.096,0.525252525,0,0.0652
0.082552464,0.697674419,0.497409326,0.021666667,0.383838384,0,0.1621
0.130313179,0.488372093,0.492746114,0.023133333,0.606060606,0.506666667,0.6729
0.009512951,0.23255814,0.414507772,0,0.494949495,0.466666667,0.0393
0.061175045,0.164418605,0.269430052,0.033333333,0.48989899,0.533333333,0.2819
0.087896818,0.128372093,0.310880829,0.016666667,0.444444444,0.533333333,0.3457
0.057612142,0.465116279,0.437823834,0.053333333,0.303030303,0.333333333,0.399
0.039797627,0.348837209,0.704663212,0.129333333,0.727272727,0,0.061
0.100366979,0.465116279,0.507772021,0.104,0.505050505,0,0.1274
0.091459721,0.651162791,0.725388601,0.141333333,0.747474747,0,0.3768
0.052267788,0.465116279,0.580310881,0.104,0.464646465,0,0.1578
